cohort,cohort_years,race,ethnicity,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
2006,2,A05,A2,,,,,,,,,,,,,,,,5,5,-1,5,5,-1,5,5,-1
2006,2,A05,A1,193,173,,132,143,,25590,34380,,37370,51300,,57460,72750,,1,1,-1,1,1,-1,1,1,-1
2006,2,A07,A2,230,223,,181,179,,25910,33490,,36580,49880,,53660,72460,,1,1,-1,1,1,-1,1,1,-1
2006,2,A07,A1,942,928,,844,851,,22840,33200,,34720,47600,,53820,70930,,1,1,-1,1,1,-1,1,1,-1
2008,2,A01,A2,3359,4846,,5135,3643,,25920,30050,,39520,44150,,59000,65040,,1,1,-1,1,1,-1,1,1,-1
2008,2,A01,A1,18010,26330,,27330,18840,,25760,30450,,39450,44680,,61780,65570,,1,1,-1,1,1,-1,1,1,-1
2008,2,A02,A2,340,452,,642,529,,32740,31460,,48260,46700,,68310,69420,,1,1,-1,1,1,-1,1,1,-1
2008,2,A02,A1,5926,7206,,7282,5955,,31990,32000,,48110,47120,,68940,69030,,1,1,-1,1,1,-1,1,1,-1
2008,2,A03,A2,94,148,,188,148,,24450,29780,,33900,40820,,50370,60770,,1,1,-1,1,1,-1,1,1,-1
2008,2,A03,A1,216,306,,457,374,,22250,26510,,32300,38870,,49800,53060,,1,1,-1,1,1,-1,1,1,-1
2008,2,A04,A2,52,71,,85,72,,24160,24300,,48120,44770,,75120,88210,,1,1,-1,1,1,-1,1,1,-1
2008,2,A04,A1,555,980,,1361,923,,28610,31260,,43920,45600,,68750,69620,,1,1,-1,1,1,-1,1,1,-1
2008,2,A05,A2,,,,,,,,,,,,,,,,5,5,-1,5,5,-1,5,5,-1
2008,2,A05,A1,95,126,,189,153,,24200,26680,,39510,39850,,60810,60460,,1,1,-1,1,1,-1,1,1,-1
2008,2,A07,A2,146,196,,247,203,,25590,26750,,38060,41880,,52000,62580,,1,1,-1,1,1,-1,1,1,-1
2008,2,A07,A1,631,886,,1225,962,,26870,28820,,40490,43830,,58450,64050,,1,1,-1,1,1,-1,1,1,-1
2010,2,A01,A2,3168,2585,,6642,2052,,23050,29490,,35160,42960,,55640,60360,,1,1,-1,1,1,-1,1,1,-1
2010,2,A01,A1,20130,15210,,35840,11130,,23480,29580,,35840,43320,,58150,62770,,1,1,-1,1,1,-1,1,1,-1
2010,2,A02,A2,298,224,,830,325,,24810,29540,,39280,45030,,62890,60460,,1,1,-1,1,1,-1,1,1,-1
2010,2,A02,A1,5027,3484,,9595,3205,,27860,29860,,44320,43740,,70080,64560,,1,1,-1,1,1,-1,1,1,-1
2010,2,A03,A2,115,99,,276,94,,22920,23230,,34860,37180,,54180,56870,,1,1,-1,1,1,-1,1,1,-1
2010,2,A03,A1,251,209,,625,200,,20840,25370,,32400,35770,,50210,50470,,1,1,-1,1,1,-1,1,1,-1
2010,2,A04,A2,,,,158,,,,,,,,,,,,5,5,-1,1,5,-1,5,5,-1
2010,2,A04,A1,530,544,,1571,464,,26690,31840,,42090,46330,,69090,67990,,1,1,-1,1,1,-1,1,1,-1
2010,2,A05,A2,,,,,,,,,,,,,,,,5,5,-1,5,5,-1,5,5,-1
2010,2,A05,A1,117,93,,286,105,,23410,28610,,35940,45150,,72580,61870,,1,1,-1,1,1,-1,1,1,-1
2010,2,A07,A2,161,111,,379,121,,23990,31580,,35860,43370,,67760,60690,,1,1,-1,1,1,-1,1,1,-1
2010,2,A07,A1,617,439,,1474,517,,24950,26890,,37580,41650,,61260,59100,,1,1,-1,1,1,-1,1,1,-1
2012,2,A01,A2,4806,,,8525,,,22020,,,32520,,,48420,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A01,A1,30240,,,43160,,,22130,,,32130,,,47150,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A02,A2,395,,,1100,,,21460,,,33200,,,51410,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A02,A1,6779,,,13970,,,22050,,,32750,,,49520,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A03,A2,166,,,347,,,22910,,,33760,,,48570,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A03,A1,374,,,747,,,20220,,,30120,,,41690,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A04,A2,73,,,151,,,20430,,,31460,,,46830,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A04,A1,853,,,2047,,,23190,,,33960,,,51960,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A05,A2,,,,76,,,,,,,,,,,,5,-1,-1,1,-1,-1,5,-1,-1
2012,2,A05,A1,167,,,309,,,21130,,,32440,,,46190,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A07,A2,224,,,481,,,21830,,,29650,,,43460,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A07,A1,844,,,1979,,,21620,,,31190,,,47330,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A01,A2,2691,,,3978,,,22070,,,32140,,,45810,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A01,A1,16340,,,18570,,,22820,,,33140,,,47020,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A02,A2,213,,,574,,,21390,,,32450,,,47470,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A02,A1,3580,,,6643,,,22180,,,32400,,,45900,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A03,A2,102,,,155,,,21180,,,29780,,,38680,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A03,A1,217,,,308,,,20290,,,28420,,,39770,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A04,A2,,,,73,,,,,,,,,,,,5,-1,-1,1,-1,-1,5,-1,-1
2014,2,A04,A1,578,,,1071,,,24780,,,37720,,,56120,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A05,A2,,,,,,,,,,,,,,,,5,-1,-1,5,-1,-1,5,-1,-1
2014,2,A05,A1,104,,,195,,,21380,,,35200,,,50370,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A07,A2,142,,,185,,,21570,,,30980,,,46500,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A07,A1,544,,,992,,,22120,,,33920,,,49430,,,1,-1,-1,1,-1,-1,1,-1,-1
