cohort,cohort_years,ind_level,industry,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_earn,status_y5_earn,status_y10_earn,y1_nonemp,y5_nonemp,y10_nonemp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp
2000,2,N,81,1385,1257,1036,23440,26010,31760,33750,40380,45960,44950,55160,62000,1,1,1,1,1,1,,,,,,
2000,2,N,92,3809,5115,5559,28220,35910,40560,35780,45900,53650,43960,59800,71610,1,1,1,1,1,1,,,,,,
2000,2,N,99,2807,6062,8835,31530,41510,49310,40410,53500,64900,51110,67900,85370,1,1,1,1,1,1,,,,,,
2002,2,N,11,112,111,123,17050,26860,22960,22590,37120,36240,30150,47920,50930,1,1,1,1,1,1,,,,,,
2002,2,N,21,269,586,749,31710,48730,55260,42090,67090,79420,55780,90300,106700,1,1,1,1,1,1,,,,,,
2002,2,N,22,141,302,405,32720,42390,55180,44190,60360,76610,61450,80970,99150,1,1,1,1,1,1,,,,,,
2002,2,N,23,2460,3070,2211,20790,27720,31870,28970,39930,46960,40180,55700,67230,1,1,1,1,1,1,,,,,,
2002,2,N,31-33,3437,4468,4258,23020,30270,34640,31510,42120,48280,43890,56700,68670,1,1,1,1,1,1,,,,,,
2002,2,N,42,1612,2057,2042,23110,30350,35040,31620,42470,48230,42870,57370,66460,1,1,1,1,1,1,,,,,,
2002,2,N,44-45,4490,3927,2935,17660,21490,23910,24150,30640,34600,33820,43450,49880,1,1,1,1,1,1,,,,,,
2002,2,N,48-49,2176,2401,2145,23520,29050,30890,32670,42150,44950,45290,58440,63390,1,1,1,1,1,1,,,,,,
2002,2,N,51,862,1170,1013,24470,32120,39920,34760,45650,57510,51210,66090,81470,1,1,1,1,1,1,,,,,,
2002,2,N,52,682,1028,956,22370,28950,36050,30150,39440,49660,39540,52550,70650,1,1,1,1,1,1,,,,,,
2002,2,N,53,605,611,530,20650,25690,30250,28800,36490,41770,38900,50450,58350,1,1,1,1,1,1,,,,,,
2002,2,N,54,3106,4105,3739,36820,43430,48210,57530,65280,72530,80290,94630,107100,1,1,1,1,1,1,,,,,,
2002,2,N,55,295,447,525,22370,30560,36340,33610,43600,56030,48680,62040,80530,1,1,1,1,1,1,,,,,,
2002,2,N,56,4962,4013,3234,19760,23140,25300,28730,35730,39060,41840,52840,59920,1,1,1,1,1,1,,,,,,
2002,2,N,61,1067,1629,1915,24580,29790,34150,37810,44520,48670,54180,59990,64970,1,1,1,1,1,1,,,,,,
2002,2,N,62,2010,3087,3402,21210,25490,30560,29470,37540,44600,42090,54000,61910,1,1,1,1,1,1,,,,,,
2002,2,N,71,399,474,360,18610,22490,24220,25120,33260,35340,33580,49300,52210,1,1,1,1,1,1,,,,,,
2002,2,N,72,1464,1481,1211,15360,17380,19630,20080,24100,26240,27950,35990,40010,1,1,1,1,1,1,,,,,,
2002,2,N,81,1030,1001,837,20970,24980,28150,30560,37450,41060,42590,49910,56790,1,1,1,1,1,1,,,,,,
2002,2,N,92,2294,3835,4076,26400,35740,39080,34210,45970,51330,42520,60440,71070,1,1,1,1,1,1,,,,,,
2002,2,N,99,2998,5696,8087,32480,41440,47420,40800,52310,62280,53480,67270,83130,1,1,1,1,1,1,,,,,,
2004,2,N,11,122,101,171,18730,26580,25860,31460,36440,37070,39880,51680,52830,1,1,1,1,1,1,,,,,,
